Indicator ,URL,Source ,Title ,Abstract,Category ,Year 
acc_sp_wtr,,Ministry of Water Supply and Sanitation,Access to water-spout water,,Infrastrucuture ,
acc_riv_strm,,Ministry of Water Supply and Sanitation,Access to water-river streams,,Infrastrucuture ,
acc_othr,,Ministry of Water Supply and Sanitation,Access to water-others,,Infrastrucuture ,
acc_not_std,,Ministry of Water Supply and Sanitation,Access to water-Not stated,,Infrastrucuture ,
acc_w_a_t_f,,CBS,Access to toilet-Without any toilet facility,,Infrastrucuture ,
acc_f_t,,CBS,Access to toilet-Flush Toilet ,,Infrastrucuture ,
acc_o_t,,CBS,Access to toilet-Ordinary Toilet ,,Infrastrucuture ,
acc_t_f_n_s,,CBS,Access to toilet-Toilet Facility not stated,,Infrastrucuture ,
,,CBS ,Literacy rate ,,Welfare,
h_f_n_h,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Facilities -Hospital,Department of Health / HMIS,Infrastrucuture ,2018
h_f_n_p_h_c_c,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Facilities- Primary Health Care Centers ,Department of Health / HMIS,Infrastrucuture ,2018
h_f_n_h_p,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Facilities- Health Post,Department of Health / HMIS,Infrastrucuture ,2018
h_f_n_u_h_c,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Facilities-Urban Health Centers,Department of Health / HMIS,Infrastrucuture ,2018
h_f_n_c_h_u,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Facilities- Community Health Unit,Department of Health / HMIS,Infrastrucuture ,2018
h_f_n_o_h_f,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Facilities -Other Health Facilities,Department of Health / HMIS,Infrastrucuture ,2018
h_f_n_n_p_h_f,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Facilities -Non-public health facilities  ,Department of Health / HMIS,Infrastrucuture ,2018
h_i_p_c_u_o_y_i_bcg,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators -Percentage of children under one year immunized with BCG,Department of Health / HMIS,Welfare,2018
h_i_p_c_u_o_y_i_dpt_hepB_hib1,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators -Percentage of children under one year immunized with DPT-HepB-Hib1,Department of Health / HMIS,Welfare,2018
h_i_p_c_u_o_y_i_dpt_hepB_hib3,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators -Percentage of children under one year immunized with DPT-HepB-Hib3,Department of Health / HMIS,Welfare,2018
h_i_p_c_u_o_y_i_polio3,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators -Percentage of children under one year immunized with polio 3,Department of Health / HMIS,Welfare,2018
h_i_p_c_u_o_y_i_pcv3,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators -Percentage of children under one year immunized with PCV 3,Department of Health / HMIS,Welfare,2018
h_i_p_c_12_23_m_i_rubella2,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators -Percentage of children aged 12-23 months immunized with measles/rubella 2,Department of Health / HMIS,Welfare,2018
h_i_p_c_12_23_m_i_je,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators -Percentage of children 12-23 months immunized with JE,Department of Health / HMIS,Welfare,2018
h_i_p_c_f_i_p_nip,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators -Percentage of children fully immunized as per NIP schedule,Department of Health / HMIS,Welfare,2018
h_i_d_o_dpt_hebB_hib1_vs_3,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators -Drop out DPT-HepB-Hib 1 vs 3,Department of Health / HMIS,Welfare,2018
h_i_p_p_w_r_TD2_TD2+,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators -Percentage of pregnant women who received TD2 & TD2+,Department of Health / HMIS,Welfare,2018
h_i_p_p_i_s_c,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators -Percentage of planned immunization sessions conducted,Department of Health / HMIS,Welfare,2018
h_i_p_n_l_b_w(<2.5kg),http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators -Percentage of newborns with low birth weight (<2.5kg) among total delivery by HWs,Department of Health / HMIS,Welfare,2018
h_i_p_c0_23m_r_ng_m,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators -Percentage of children aged 0-23 months registered for (New) growth monitoring,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Health Indicators ,Department of Health / HMIS,Welfare,2018
,http://dohs.gov.np/ihims-raw-data/,Department of Health / HMIS,Top 10 disease ,Department of Health / HMIS,Welfare,2018
e_i_f_n_c_s,https://moe.gov.np/assets/uploads/files/Education_in_Figures_2017.pdf,Ministry of Education,Total number of schools community/institutional-Community School,"“Education in Figures 2017 (At a Glance)” has been developed through the compilation of both school and local levels’ information. This report has been a key foundation for conveying comprehensive educational information and contributed as an instrument for the policy makers, researchers, teachers, students and academia. This report has captured wide-range information related to Early Childhood Education (ECD) to Higher Education of Nepal including Technical and Vocational Education and Training (TVET). It is a short glance of educational indicators related to educational inputs, process and outputs of Nepal's over all education system.",Infrastrucuture ,2017
e_i_f_n_i,https://moe.gov.np/assets/uploads/files/Education_in_Figures_2017.pdf,Ministry of Education,Total number of schools community/institutional-Community School-Institutional,"“Education in Figures 2017 (At a Glance)” has been developed through the compilation of both school and local levels’ information. This report has been a key foundation for conveying comprehensive educational information and contributed as an instrument for the policy makers, researchers, teachers, students and academia. This report has captured wide-range information related to Early Childhood Education (ECD) to Higher Education of Nepal including Technical and Vocational Education and Training (TVET). It is a short glance of educational indicators related to educational inputs, process and outputs of Nepal's over all education system.",Infrastrucuture ,2017
e_i_f_n_i,https://moe.gov.np/assets/uploads/files/Education_in_Figures_2017.pdf,Ministry of Education,Total number of schools community/institutional-Community School-Institutional,"“Education in Figures 2017 (At a Glance)” has been developed through the compilation of both school and local levels’ information. This report has been a key foundation for conveying comprehensive educational information and contributed as an instrument for the policy makers, researchers, teachers, students and academia. This report has captured wide-range information related to Early Childhood Education (ECD) to Higher Education of Nepal including Technical and Vocational Education and Training (TVET). It is a short glance of educational indicators related to educational inputs, process and outputs of Nepal's over all education system.",Infrastrucuture ,2017
e_i_f_t_n_s,https://moe.gov.np/assets/uploads/files/Education_in_Figures_2017.pdf,Ministry of Education,Total number of schools community/institutional-Total School,"“Education in Figures 2017 (At a Glance)” has been developed through the compilation of both school and local levels’ information. This report has been a key foundation for conveying comprehensive educational information and contributed as an instrument for the policy makers, researchers, teachers, students and academia. This report has captured wide-range information related to Early Childhood Education (ECD) to Higher Education of Nepal including Technical and Vocational Education and Training (TVET). It is a short glance of educational indicators related to educational inputs, process and outputs of Nepal's over all education system.",Infrastrucuture ,2017
e_i_f_n_g_s,https://moe.gov.np/assets/uploads/files/Education_in_Figures_2017.pdf,Ministry of Education,Total number of students of all school types-Girls Students,"“Education in Figures 2017 (At a Glance)” has been developed through the compilation of both school and local levels’ information. This report has been a key foundation for conveying comprehensive educational information and contributed as an instrument for the policy makers, researchers, teachers, students and academia. This report has captured wide-range information related to Early Childhood Education (ECD) to Higher Education of Nepal including Technical and Vocational Education and Training (TVET). It is a short glance of educational indicators related to educational inputs, process and outputs of Nepal's over all education system.",Infrastrucuture ,2017
,https://moe.gov.np/assets/uploads/files/Education_in_Figures_2017.pdf,Ministry of Education,Total number of students of all school types ,"“Education in Figures 2017 (At a Glance)” has been developed through the compilation of both school and local levels’ information. This report has been a key foundation for conveying comprehensive educational information and contributed as an instrument for the policy makers, researchers, teachers, students and academia. This report has captured wide-range information related to Early Childhood Education (ECD) to Higher Education of Nepal including Technical and Vocational Education and Training (TVET). It is a short glance of educational indicators related to educational inputs, process and outputs of Nepal's over all education system.",Infrastrucuture ,2017
,https://moe.gov.np/assets/uploads/files/Education_in_Figures_2017.pdf,Ministry of Education,Total number of students of all school types ,"“Education in Figures 2017 (At a Glance)” has been developed through the compilation of both school and local levels’ information. This report has been a key foundation for conveying comprehensive educational information and contributed as an instrument for the policy makers, researchers, teachers, students and academia. This report has captured wide-range information related to Early Childhood Education (ECD) to Higher Education of Nepal including Technical and Vocational Education and Training (TVET). It is a short glance of educational indicators related to educational inputs, process and outputs of Nepal's over all education system.",Infrastrucuture ,2017
