Province,District ,Name of municipalities,Total,Without any facility,At least one facility,Radio,Television,Cable television,computer,internet,Tele phone ,Mobile phone
Province 2,Rautahat,Phatuwa Bijayapur Municipality,"5,633",674,"4,791","2,812",583,12,24,7,30,"2,439"
Province 2,Rautahat,Rajdevi Municipality,"5,365",980,"4,274","2,198","1,069",73,45,13,17,"2,602"
Province 2,Rautahat,Rajpur Municipality,"5,768","1,970","3,561","1,221",525,47,27,4,27,"2,067"
Province 2,Rautahat,Yamunamai Gaunpalika,"3,776",925,"2,759","1,030",672,29,25,2,22,"1,965"
Province 2,Bara,Aadarsha Kotwal Gaunpalika,"3,960",543,"3,304","1,123",667,19,22,2,7,"2,129"
Province 2,Bara,Baragadhi Gaunpalika,"4,270",861,"3,354",937,"1,258",52,29,7,75,"1,963"
Province 2,Bara,Bishrampur Gaunpalika,"3,395",291,"3,062",731,"1,104",55,32,7,39,"1,890"
Province 2,Bara,Devtal Gaunpalika,"3,185",383,"2,689",552,672,59,34,5,30,"1,899"
Province 2,Bara,Jitpur Simara Sub-Metropolitian City,"21,670","1,620","19,679","7,876","11,662","7,362",951,214,902,"15,380"
Province 2,Bara,Kalaiya Sub-Metropolitian City,"18,689","1,474","16,806","5,674","7,737","2,032",548,106,651,"11,812"
Province 2,Bara,Karaiyamai Gaunpalika,"4,173",446,"3,653","1,427","1,551",39,46,13,21,"2,381"
Province 2,Bara,Kolhabi Municipality,"8,111",728,"7,216","3,705","3,929",432,103,29,141,"4,925"
Province 2,Bara,Mahagadhimai Municipality,"7,773",702,"6,872","2,276","2,128",825,66,19,106,"4,879"
Province 2,Bara,Nijagadh Municipality,"7,162",738,"6,280","3,329","2,536","1,972",244,62,273,"4,677"
Province 2,Bara,Pacharauta Municipality,"4,707",716,"3,912","1,602",929,58,33,6,44,"2,385"
Province 2,Bara,Parawanipur Gaunpalika,"3,166",203,"2,900","1,192","1,382",441,71,7,34,"2,279"
Province 2,Bara,Pheta Gaunpalika,"3,585",271,"3,273",784,"1,435",86,18,1,14,"2,190"
Province 2,Bara,Prasauni Gaunpalika,"3,626",337,"3,239",963,"1,624",70,76,11,44,"2,316"
Province 2,Bara,Simroungadh Municipality,"7,093",757,"6,266","2,830","1,600",222,60,16,61,"3,489"
Province 2,Bara,Subarna Gaunpalika,"4,035",361,"3,592","1,163",676,48,26,4,34,"2,229"
Province 2,Parsa,Bahudarmai Municipality,"5,681",296,"5,288","1,925","2,592",229,46,5,24,"3,502"
Province 2,Parsa,Bindabasini Gaunpalika,"3,576",137,"3,351",944,"1,089",171,35,2,24,"1,765"
Province 2,Parsa,Birgunj Metropolitian City,"39,286","2,149","36,338","11,061","20,682","13,300","3,864","1,359","3,181","27,722"
Province 2,Parsa,Chhipaharmai Gaunpalika,"3,983",872,"2,808",932,613,11,24,2,20,"1,557"
Province 2,Parsa,Dhobini Gaunpalika,"2,975",476,"2,438",376,633,33,13,2,7,"1,298"
Province 2,Parsa,Jagarnathpur Gaunpalika,"4,953",705,"4,095","1,126",827,40,32,1,12,"2,356"
Province 2,Parsa,Jirabhawani Gaunpalika,"4,117",641,"3,366","1,231","1,138",77,14,0,14,"1,886"
Province 2,Parsa,Kalikamai Gaunpalika,"3,042",422,"2,518",873,954,28,25,4,33,"1,896"
Province 2,Parsa,Pakaha Mainpur Gaunpalika,"3,038",454,"2,497",599,921,21,33,9,20,"1,431"
Province 2,Parsa,Parsagadhi Municipality,"6,412",563,"5,679","2,316","2,531",222,50,5,29,"3,743"
Province 2,Parsa,Paterwa Sugauli Gaunpalika,"4,002",453,"3,397","1,236","1,198",103,28,1,38,"2,063"
Province 2,Parsa,Pokhariya Municipality,"4,875",420,"4,368",905,"1,427",27,25,8,32,"2,702"
Province 2,Parsa,Sakhuwa Prasauni Gaunpalika,"5,329",591,"4,633","1,964","1,770",185,41,9,36,"2,985"
Province 2,Parsa,Thori Gaunpalika,"4,247",514,"3,656","3,026","1,239",75,22,5,45,"2,290"
Province 3 ,Sindhuli,Dudhouli Municipality,"13,164","3,006","9,504","5,858","3,128",625,112,12,390,"6,492"
Province 3 ,Sindhuli,Ghyanglekha Gaunpalika,"2,457",941,"1,472","1,253",77,3,4,0,39,720
Province 3 ,Sindhuli,Golanjor Gaunpalika,"3,681",806,"2,816","2,380",460,221,19,2,154,"1,815"
Province 3 ,Sindhuli,Hariharpurgaghi Gaunpalika,"4,586","1,636","2,817","2,169",295,24,9,1,55,"1,525"
Province 3 ,Sindhuli,Kamalamai Municipality,"14,315","2,476","11,661","7,648","5,395","4,134",744,215,"1,196","8,539"
Province 3 ,Sindhuli,Marin Gaunpalika,"4,870","1,639","3,148","2,552",160,13,23,3,177,"1,752"
Province 3 ,Sindhuli,Phikkal Gaunpalika,"3,035",941,"1,997","1,837",67,3,4,1,76,835
Province 3 ,Sindhuli,Sunkoshi Gaunpalika,"4,557",991,"3,436","3,038",440,91,13,1,253,"2,338"
Province 3 ,Sindhuli,Tinpatan Gaunpalika,"6,879","2,057","4,697","4,198",450,49,14,1,581,"1,991"
Province 3 ,Ramechhap,Doramba Gaunpalika,"4,993","1,443","3,263","2,708",381,11,9,0,36,"1,946"
Province 3 ,Ramechhap,Gokulganga Gaunpalika,"4,446",597,"3,579","2,918",852,244,38,9,33,"2,574"
Province 3 ,Ramechhap,Khandadevi Gaunpalika,"5,372","1,053","4,073","3,565",467,13,8,0,63,"2,577"
Province 3 ,Ramechhap,Likhu Gaunpalika,"4,928",990,"3,805","3,462",183,41,16,1,104,"2,419"
Province 3 ,Ramechhap,Manthali  Municipality,"10,099","1,718","8,018","6,466","1,745",782,264,89,401,"5,909"
Province 3 ,Ramechhap,Ramechhap Municipality,"6,126","1,261","4,730","4,341",958,203,39,4,235,"2,693"
Province 3 ,Ramechhap,Sunapati Gaunpalika,"4,050",761,"3,153","2,776",441,10,25,4,66,"1,942"
Province 3 ,Ramechhap,Umakunda Gaunpalika,"3,869",631,"3,115","2,879",546,36,28,4,148,"1,946"
Province 3 ,Dolakha,Baitedhar Gaunpalika,"5,079",693,"4,294","3,752","1,398",122,127,15,26,"3,004"
Province 3 ,Dolakha,Bhimeshwor Municipality,"8,639","1,028","7,504","6,069","3,364","1,922",504,145,368,"5,660"
Province 3 ,Dolakha,Bigu Gaunpalika,"4,418","1,138","3,228","3,040",294,9,11,2,60,"1,127"
Province 3 ,Dolakha,Gaurishankar Gaunpalika,"4,067",590,"3,357","3,173",317,40,10,0,77,"1,513"
Province 3 ,Dolakha,Jiri Municipality,"3,854",451,"3,379","2,765",810,673,148,38,190,"2,409"
Province 3 ,Dolakha,Kalinchowk Gaunpalika,"5,457",971,"4,363","4,108",688,137,44,6,19,"2,361"
Province 3 ,Dolakha,Melung Gaunpalika,"4,841",850,"3,866","3,505",776,143,20,7,19,"2,463"
Province 3 ,Dolakha,Shailung Gaunpalika,"4,958",783,"4,078","3,600",998,194,24,2,30,"2,876"
Province 3 ,Dolakha,Tamakoshi Gaunpalika,"4,345",620,"3,712","3,245","1,047",181,81,23,42,"2,771"
Province 3 ,Sindhupalchok,Bahrabise Municipality,"6,225","1,512","4,589","2,586","1,985",771,130,54,240,"3,763"
Province 3 ,Sindhupalchok,Balephi Gaunpalika,"4,429",767,"3,580","2,225","1,786",566,122,46,168,"2,828"
Province 3 ,Sindhupalchok,Bhotekoshi Gaunpalika,"4,183",958,"3,165","1,266","1,286","1,073",65,33,114,"2,593"
Province 3 ,Sindhupalchok,Choutara Sangachowkgadhi Municipality,"10,906","1,592","9,037","6,068","4,828",924,329,123,345,"6,925"
Province 3 ,Sindhupalchok,Helambu Gaunpalika,"4,203",658,"3,464","2,693","1,371",203,27,11,60,"2,556"
Province 3 ,Sindhupalchok,Indrawoti Gaunpalika,"6,211","1,272","4,786","3,442","1,908",17,40,7,34,"3,857"
Province 3 ,Sindhupalchok,Jugal Gaunpalika,"3,941","1,070","2,829","2,426",547,24,17,2,25,"1,479"
Province 3 ,Sindhupalchok,Lisankhu Pakhar Gaunpalika,"3,680",605,"3,018","2,342","1,299",90,59,16,103,"2,464"
Province 3 ,Sindhupalchok,Melanchi Municipality,"10,097","2,106","7,907","5,110","2,700",471,144,66,111,"6,346"
Province 3 ,Sindhupalchok,Panchpokhari Thangpal Gaunpalika,"5,007","1,260","3,591","2,304","1,806",20,15,12,27,"2,544"
Province 3 ,Sindhupalchok,Sunkoshi Gaunpalika,"4,359",714,"3,590","2,486","2,128",275,61,22,73,"2,540"
Province 3 ,Sindhupalchok,Tripurasundari Gaunpalika,"3,394","1,033","2,345","1,701",955,146,12,3,32,"1,648"
Province 3 ,Kavrepalanchok,Banepa Municipality,"12,106",345,"11,583","6,521","10,123","5,036","2,581",856,"2,065","10,244"
Province 3 ,Kavrepalanchok,Bethanchowk Gaunpalika,"3,601",518,"3,005","2,061","1,732",86,54,6,218,"2,572"
Province 3 ,Kavrepalanchok,Bhumlu Gaunpalika,"4,513",751,"3,595","2,949","1,473",93,47,26,109,"2,169"
Province 3 ,Kavrepalanchok,Chauri Deurali Gaunpalika,"4,664","1,166","3,461","2,908",743,12,32,3,72,"2,366"
Province 3 ,Kavrepalanchok,Dhulikhel Municipality,"7,061",550,"6,351","3,954","4,615","1,277",786,254,599,"5,439"
Province 3 ,Kavrepalanchok,Khanikhola Gaunpalika,"2,372",740,"1,566","1,213",243,10,7,0,115,884
Province 3 ,Kavrepalanchok,Mahabharat Gaunpalika,"2,910","1,019","1,790","1,383",265,1,11,0,71,"1,042"
Province 3 ,Kavrepalanchok,Mandan Deupur Municipality,"7,328",883,"6,281","4,175","3,202",362,187,58,219,"5,321"
Province 3 ,Kavrepalanchok,Namobuddha Municipality,"6,584",650,"5,692","3,883","3,557",239,120,21,256,"4,251"
Province 3 ,Kavrepalanchok,Panauti Municipality,"10,196",461,"9,534","5,987","8,386","1,400","1,177",326,"1,197","8,165"
Province 3 ,Kavrepalanchok,Panchkhal Municipality,"8,544",885,"7,564","4,818","5,117",582,393,89,464,"6,563"
Province 3 ,Kavrepalanchok,Roshi Gaunpalika,"5,896","1,320","4,421","3,541","1,027",63,35,6,245,"2,434"
Province 3 ,Kavrepalanchok,Temal Gaunpalika,"4,876","1,122","3,540","2,644",812,20,38,3,120,"2,384"
Province 3 ,Lalitpur,Bagmati Gaunpalika,"2,614",381,"2,175","1,797",746,116,22,8,126,"1,470"
Province 3 ,Lalitpur,Godawari Municipality,"17,762",771,"16,610","9,441","13,807","5,283","3,267","1,113","3,261","14,150"
Province 3 ,Lalitpur,Konjyosom Gaunpalika,"2,001",326,"1,610","1,159",981,44,23,0,66,"1,138"
Province 3 ,Lalitpur,Lalitpur Metropolitian City,"70,256",898,"68,710","41,024","46,906","46,364","28,336","14,958","25,181","63,717"
Province 3 ,Lalitpur,Mahalaxmi Municipality,"14,930",424,"14,267","7,972","9,291","8,829","4,793","1,805","4,558","12,603"
Province 3 ,Lalitpur,Mahankal Gaunpalika,"1,942",203,"1,722","1,459",808,109,29,11,72,"1,362"
Province 3 ,Bhaktapur,Bhaktapur Municipality,"17,639",424,"17,033","8,640","15,036","9,889","5,352","2,198","4,816","15,418"
Province 3 ,Bhaktapur,Changunarayan Municipality,"12,170",404,"11,510","6,880","10,143","3,856","1,924",539,"2,010","9,689"
Province 3 ,Bhaktapur,Madhyapur Thimi Municipality,"20,302",350,"19,785","12,262","16,307","13,285","7,529","3,863","5,626","18,540"
Province 3 ,Bhaktapur,Suryabinayak Municipality,"18,446",455,"17,772","10,738","15,222","10,548","5,419","2,364","5,028","15,941"
Province 3 ,Kathmandu,Budhanilkhantha Municipality,"26,485",418,"25,861","15,448","20,734","17,310","8,778","4,497","7,143","23,905"
Province 3 ,Kathmandu,Chandragiri Municipality,"20,532",514,"19,812","11,222","15,460","12,286","5,274","2,182","5,529","17,907"
Province 3 ,Kathmandu,Dakshinkali Municipality,"5,488",370,"5,025","3,102","4,314","1,838",861,332,819,"4,453"
Province 3 ,Kathmandu,Gokarneshwor Municipality,"27,106",649,"26,060","10,923","18,018","15,396","5,432","2,152","4,298","23,836"
Province 3 ,Kathmandu,Kageshwori Manahara Municipality,"14,329",397,"13,793","7,450","11,141","6,924","3,885","1,524","3,464","12,482"
Province 3 ,Kathmandu,Kathmandu Metropolitian City,"254,292","2,903","249,301","148,315","195,795","182,144","103,045","60,371","80,413","233,802"
Province 3 ,Kathmandu,Kirtipur Municipality,"19,441",286,"19,077","12,911","11,483","9,636","7,751","4,504","5,038","18,097"
Province 3 ,Kathmandu,Nagarjun Municipality,"16,746",207,"16,380","10,019","13,276","10,371","5,480","2,609","4,737","15,331"
Province 3 ,Kathmandu,Shankharapur Municipality,"5,406",525,"4,765","2,887","3,382","1,110",500,147,512,"4,044"
Province 3 ,Kathmandu,Tarakeshwor Municipality,"20,158",542,"19,440","9,849","14,022","10,561","4,846","1,683","3,257","17,721"
Province 3 ,Kathmandu,Tokha Municipality,"25,561",427,"24,971","12,428","17,996","17,314","8,670","4,353","6,303","23,605"
Province 3 ,Nuwakot,Belkotgadhi Municipality,"8,099",865,"6,833","5,442","1,910",316,102,23,152,"5,573"
Province 3 ,Nuwakot,Bidur Municipality,"12,505","1,219","10,946","6,216","5,729","3,643",923,242,"1,166","8,830"
Province 3 ,Nuwakot,Dupcheshwor Gaunpalika,"4,451",981,"3,301","2,861",347,47,12,1,35,"1,660"
Province 3 ,Nuwakot,Kakani Gaunpalika,"5,183",576,"4,485","3,475","2,335",273,94,27,122,"3,301"
Province 3 ,Nuwakot,Kispang Gaunpalika,"3,340",821,"2,398","1,405","1,083",177,29,4,19,"1,821"
Province 3 ,Nuwakot,Likhu Gaunpalika,"3,629",442,"3,063","2,216","1,789",312,80,22,44,"2,322"
Province 3 ,Nuwakot,Meghang Gaunpalika,"3,388",630,"2,664","1,948","1,535",94,28,6,114,"1,602"
Province 3 ,Nuwakot,Panchakanya Gaunpalika,"3,321",433,"2,748","2,266",718,127,30,3,75,"1,964"
Province 3 ,Nuwakot,Shivapuri Gaunpalika,"4,676","1,071","3,537","2,944",433,8,9,3,30,"2,419"
Province 3 ,Nuwakot,Suryagadhi Gaunpalika,"3,509",797,"2,652","1,876",824,89,33,3,32,"2,134"
Province 3 ,Nuwakot,Tadi Gaunpalika,"3,582",661,"2,697","2,270",784,62,31,9,106,"1,800"
Province 3 ,Nuwakot,Tarakeshwor Gaunpalika,"3,511",453,"2,938","2,357",704,86,10,100,33,"2,157"
Province 3 ,Rasuwa,Gosaikunda Gaunpalika,"2,017",424,"1,586",858,687,519,95,52,340,"1,200"
Province 3 ,Rasuwa,Kalika Gaunpalika,"2,089",212,"1,848","1,366",621,383,55,12,113,"1,424"
Province 3 ,Rasuwa,Naukunda Gaunpalika,"2,483",592,"1,859","1,502",274,14,20,3,31,"1,194"
Province 3 ,Rasuwa,Parbatikunda Gaunpalika,"1,306",535,756,414,115,26,12,5,26,562
Province 3 ,Rasuwa,Uttargaya Gaunpalika,"1,846",436,"1,394",945,574,394,49,11,87,"1,084"
Province 3 ,Dhading,Benighat Rorang Gaunpalika,"6,169","1,309","4,783","3,550",557,"1,030",138,42,265,"3,136"
Province 3 ,Dhading,Dhunibenshi Municipality,"6,759",773,"5,912","4,195","3,574",574,161,44,144,"4,656"
Province 3 ,Dhading,Gajuri Gaunpalika,"5,600","1,144","4,373","3,002",412,849,149,47,102,"3,344"
Province 3 ,Dhading,Galchhi Gaunpalika,"5,410",764,"4,502","3,323",930,699,132,23,275,"3,304"
Province 3 ,Dhading,Ganga Jamuna Gaunpalika,"4,864",715,"4,030","3,440",784,37,16,0,204,"3,123"
Province 3 ,Dhading,Jwalamukhi Gaunpalika,"5,730",639,"4,949","4,194","1,050",135,39,10,107,"3,736"
Province 3 ,Dhading,Khaniyabas Gaunpalika,"2,651",580,"1,926","1,643",527,14,11,3,86,"1,222"
Province 3 ,Dhading,Netrawati Gaunpalika,"3,121",365,"2,708","2,372",691,44,14,2,55,"2,023"
Province 3 ,Dhading,Nilkhantha Municipality,"13,984","1,216","12,442","9,129","4,080","2,708",763,298,915,"10,507"
Province 3 ,Dhading,Rubi Valley Gaunpalika,"2,134","1,150",952,863,152,1,4,1,12,213
Province 3 ,Dhading,Siddhalek Gaunpalika,"5,138",760,"4,292","3,385","1,058",214,66,13,89,"3,320"
Province 3 ,Dhading,Thakre Gaunpalika,"6,927",790,"5,953","4,212","2,001",641,133,32,116,"4,727"
Province 3 ,Dhading,Tripurasundari Gaunpalika,"5,355",668,"4,604","3,857",870,216,40,11,269,"3,584"
Province 3 ,Makwanpur,Bagmati Gaunpalika,"5,731","1,561","4,016","3,135",753,25,20,1,143,"2,105"
Province 3 ,Makwanpur,Bakaiya Gaunpalika,"7,538","1,710","5,679","3,746","1,483",256,56,25,170,"4,244"
Province 3 ,Makwanpur,Bhimphedi Gaunpalika,"4,810",580,"4,112","2,950","1,736",457,89,18,148,"3,323"
Province 3 ,Makwanpur,Hetauda Sub-Metropolitian City,"34,270","1,980","31,938","20,842","20,242","18,606","5,131","1,894","4,601","28,307"
Province 3 ,Makwanpur,Indrasarowar Gaunpalika,"3,054",677,"2,362","1,747","1,060",57,29,4,68,"1,670"
Province 3 ,Makwanpur,Kailash Gaunpalika,"4,263","1,204","2,939","2,536",149,6,2,1,26,"1,546"
Province 3 ,Makwanpur,Makawanpurgadhi Gaunpalika,"5,003",642,"4,295","3,518","1,644",214,67,8,132,"3,370"
Province 3 ,Makwanpur,Manahari Gaunpalika,"7,891","1,511","6,313","4,030","2,416","1,469",142,32,120,"4,971"
Province 3 ,Makwanpur,Raksirang Gaunpalika,"4,557","1,098","3,393","3,017",193,6,9,0,20,"1,725"
Province 3 ,Makwanpur,Thaha Municipality,"8,928","1,043","7,722","5,837","3,475","1,747",175,54,272,"6,166"
Province 3,Chitawan,Bharatpur Metropolitian City,"69,035","2,453","65,941","45,258","43,239","34,122","12,550","6,976","11,371","57,996"
Province 3,Chitawan,Ichchha Kamana Gaunpalika,"4,778",727,"3,940","2,995",861,833,135,44,195,"2,647"
Province 3,Chitawan,Kalika Municipality,"9,116",773,"8,214","5,742","3,791","2,118",468,157,311,"6,511"
Province 3,Chitawan,Khairahani Municipality,"12,331",422,"11,750","6,910","6,596","4,810","1,345",619,"1,171","10,053"
Province 3,Chitawan,Madi Municipality,"8,960",894,"7,857","6,499","2,244",67,48,95,292,"6,220"
Province 3,Chitawan,Rapti Municipality,"12,055","1,179","10,746","7,092","5,126","2,366",737,286,708,"8,487"
Province 3,Chitawan,Ratnanagar Municipality,"16,070",481,"15,420","10,328","9,195","9,052","2,497","1,356","2,661","13,722"
Province 4,Gorkha,Aarughat Gaunpalika,"5,614","1,272","4,243","3,420",878,354,60,16,147,"2,784"
Province 4,Gorkha,Ajirkot Gaunpalika,"3,618",708,"2,824","2,355",550,38,12,0,27,"1,832"
Province 4,Gorkha,Bhimsen Gaunpalika,"5,438",688,"4,624","3,985","1,397",83,40,5,56,"3,688"
Province 4,Gorkha,Chumanubri Gaunpalika,"1,949","1,033",897,696,161,32,10,2,24,294
Province 4,Gorkha,Dharche Gaunpalika,"3,128","1,222","1,872","1,605",169,20,4,0,31,819
Province 4,Gorkha,Gandaki Gaunpalika,"5,253",816,"4,311","3,406","1,112",602,30,2,80,"2,955"
Province 4,Gorkha,Gorkha Municipality,"13,127",946,"11,939","9,540","7,442","3,899",780,238,"1,066","10,518"
Province 4,Gorkha,Palungtar Municipality,"9,924","1,378","8,475","6,316","4,447",842,100,20,119,"7,016"
Province 4,Gorkha,Shahid Lakhan Gaunpalika,"6,682",757,"5,756","4,593","2,642",863,84,22,117,"4,962"
Province 4,Gorkha,Siranchowk Gaunpalika,"5,896",927,"4,842","4,048","1,835",141,23,4,53,"3,424"
Province 4,Gorkha,Sulikot Gaunpalika,"5,829","1,472","4,219","3,414",837,420,18,6,44,"2,658"
Province 4,Lamjung,Bensi Shahar Municipality,"10,422",770,"9,472","6,315","1,604","4,750",723,330,590,"8,318"
Province 4,Lamjung,Dordi Gaunpalika,"4,337",792,"3,359","2,531",708,368,24,9,39,"2,437"
Province 4,Lamjung,Dudhapokhari Gaunpalika,"2,590",432,"2,118","1,822",328,65,3,1,28,"1,395"
Province 4,Lamjung,Kwhola Sothar Gaunpalika,"2,452",384,"2,005","1,578",377,144,8,6,37,"1,469"
Province 4,Lamjung,Madhya Nepal Municipality,"5,888",573,"5,205","4,064","1,225",961,128,39,114,"4,435"
Province 4,Lamjung,Marshyangdi Gaunpalika,"4,409",709,"3,551","2,354",651,"1,093",46,31,51,"3,076"
Province 4,Lamjung,Rainas Municipality,"4,751",694,"3,981","2,877","1,295",556,39,7,101,"3,185"
Province 4,Lamjung,Sundarbazar Municipality,"7,199",709,"6,380","4,034","2,274","2,321",326,103,70,"5,589"
Province 4,Tanahu,Aanbu Khaireni Gaunpalika,"4,911",399,"4,406","2,678","1,600","1,977",384,125,385,"3,946"
Province 4,Tanahu,Bandipur Gaunpalika,"4,853",771,"4,017","2,410","1,220","1,297",190,72,284,"3,510"
Province 4,Tanahu,Bhanu Municipality,"12,095","1,250","10,558","6,913","5,576","2,312",186,61,381,"8,994"
Province 4,Tanahu,Bhimad Municipality,"7,488",781,"6,385","3,777","1,797","1,055",214,45,374,"5,811"
Province 4,Tanahu,Byas Municipality,"18,339","1,489","16,517","10,276","7,520","7,209","1,589",548,"1,794","14,434"
Province 4,Tanahu,Devghat Gaunpalika,"3,435",758,"2,513","1,902",548,257,34,15,24,"1,923"
Province 4,Tanahu,Ghiring Gaunpalika,"4,137",761,"3,225","2,289",387,6,15,4,28,"2,615"
Province 4,Tanahu,Myagde Gaunpalika,"5,628",506,"5,012","2,606","2,116","1,256",182,32,55,"4,321"
Province 4,Tanahu,Rhishing Gaunpalika,"5,215","1,321","3,839","2,576",523,61,26,24,30,"3,221"
Province 4,Tanahu,Shuklagandaki Municipality,"12,185","1,027","10,889","6,908","6,040","4,230",697,269,778,"9,705"
Province 4,Syangja,Aandhikhola Gaunpalika,"4,125",459,"3,609","2,362","1,117",923,62,40,70,"3,202"
Province 4,Syangja,Arjun Choupari Gaunpalika,"3,938",403,"3,463","2,464",929,875,50,25,65,"2,995"
Province 4,Syangja,Bhirkot Municipaity,"6,083",390,"5,504","3,864","1,864","1,719",134,173,59,"4,830"
Province 4,Syangja,Biruwa Gaunpalika,"4,305",678,"3,577","2,059",612,858,28,9,140,"3,093"
Province 4,Syangja,Chapakot Municipality,"5,934",636,"5,238","3,625",880,"1,447",97,42,76,"4,831"
Province 4,Syangja,Galyang Municipality,"8,275",576,"7,550","4,600","1,693","2,764",353,135,331,"6,930"
Province 4,Syangja,Harinas Gaunpalika,"3,906",525,"3,236","2,144",828,172,42,2,84,"2,765"
Province 4,Syangja,Kaligandaki Gaunpalika,"4,972",422,"4,499","3,141","1,001","1,500",118,85,97,"4,005"
Province 4,Syangja,Phedikhola Gaunpalika,"3,254",267,"2,952","1,932","1,081",955,110,65,188,"2,669"
Province 4,Syangja,Putalibazar Municipality,"11,882","1,021","10,728","6,430","2,479","5,139",664,226,726,"9,434"
Province 4,Syangja,Walling Municipality,"12,182",903,"11,155","6,973","4,920","5,553",696,477,408,"10,103"
Province 4,Kaski,Annapurna Gaunpalika,"6,029",565,"5,319","3,909","2,877",782,160,84,141,"4,418"
Province 4,Kaski,Machhapuchchhre Gaunpalika,"5,512",513,"4,844","3,516","3,204",410,84,35,113,"4,133"
Province 4,Kaski,Madi Gaunpalika,"4,508",613,"3,811","3,122","1,447",290,24,21,55,"3,010"
Province 4,Kaski,Pokhara Lekhnath Metropolitian City,"105,630","3,432","100,844","66,137","70,961","51,679","20,424","10,578","19,463","91,392"
Province 4,Kaski,Rupa Gaunpalika,"3,780",380,"3,364","2,689","1,171",307,43,16,57,"2,786"
Province 4,Manang,Chame Gaunpalika,279,24,255,102,77,125,23,12,74,228
Province 4,Manang,Naraphu Gaunpalika,122,2,120,112,4,0,0,0,0,2
Province 4,Manang,Nashong Gaunpalika,454,41,412,223,211,151,6,1,20,359
Province 4,Manang,Neshang Gaunpalika,593,110,477,344,184,156,11,6,22,374
Province 4,Mustang,Bahragaun Muktikshetra Gaunpalika,725,80,641,312,152,212,24,12,35,567
Province 4,Mustang,Dalome Gaunpalika,404,62,340,191,33,4,1,0,17,50
Province 4,Mustang,Gharpajhong Gaunpalika,874,68,805,230,145,517,63,30,145,775
Province 4,Mustang,Lomanthang Gaunpalika,532,73,459,154,18,5,1,0,31,415
Province 4,Mustang,Thasang Gaunpalika,770,115,647,350,103,295,12,6,12,546
Province 4,Myagdi,Annapurna Gaunpalika,"3,700",634,"2,865","2,305",922,726,50,11,84,"1,992"
Province 4,Myagdi,Beni Municipality,"8,652",891,"7,694","4,784","2,158","4,204",688,437,580,"6,909"
Province 4,Myagdi,Dhawalagiri Gaunpalika,"3,229",992,"2,188","1,828",225,33,7,6,25,"1,313"
Province 4,Myagdi,Malika Gaunpalika,"4,223",829,"3,273","2,723",266,214,32,4,53,"2,161"
Province 4,Myagdi,Mangala Gaunpalika,"3,825",657,"3,083","2,617",415,171,33,6,80,"2,439"
Province 4,Myagdi,Raghuganga Gaunpalika,"4,098",771,"3,231","2,489",623,812,34,18,58,"2,126"
Province 4,Parbat,Bihadi Gaunpalika,"2,941",355,"2,572","2,001",552,401,36,10,104,"2,244"
Province 4,Parbat,Jaljala Gaunpalika,"5,561",653,"4,844","3,265","1,036","1,640",155,55,113,"4,272"
Province 4,Parbat,Kushma Municipality,"10,311",932,"9,218","5,779","3,243","4,308",660,343,692,"8,226"
Province 4,Parbat,Mahashila Gaunpalika,"2,229",280,"1,895","1,577",294,173,3,2,21,"1,594"
Province 4,Parbat,Modi Gaunpalika,"5,479",588,"4,810","3,264","2,249","1,552",123,29,63,"4,101"
Province 4,Parbat,Paiyu Gaunpalika,"3,294",397,"2,793","2,060",649,362,42,7,80,"2,316"
Province 4,Parbat,Phalebas Municipality,"5,883",496,"5,216","4,372","1,072","1,381",94,56,60,"4,373"
Province 4,Baglung,Badigad Gaunpalika,"6,228","1,023","4,852","3,463",882,740,57,14,179,"3,515"
Province 4,Baglung,Baglung Municipality,"15,182","1,013","13,996","9,084","4,645","7,167","1,271",571,"1,470","12,770"
Province 4,Baglung,Bareng Gaunpalika,"3,240",463,"2,719","2,049",378,151,17,2,75,"2,256"
Province 4,Baglung,Dhorpatan Municipality,"5,706","1,303","4,264","3,103",934,421,52,8,48,"2,613"
Province 4,Baglung,Galkot Municipality,"7,711",689,"6,920","3,612","1,024","3,101",196,40,64,"6,358"
Province 4,Baglung,Jaimuni Municipality,"7,477",712,"6,555","4,825","1,246",967,78,18,138,"5,682"
Province 4,Baglung,Kathekhola Gaunpalika,"6,128",553,"5,335","3,722","1,440","1,771",139,48,47,"4,722"
Province 4,Baglung,Nisikhola Gaunpalika,"4,893","1,630","3,065","2,487",444,160,15,1,58,"1,714"
Province 4,Baglung,Tamankhola Gaunpalika,"2,422",378,"1,800","1,674",213,18,9,0,189,391
Province 4,Baglung,Tarakhola Gaunpalika,"2,495",177,"2,254","1,807",546,264,33,15,79,"1,868"
Province 4,Nawalparasi,Binayi Tribeni Gaunpalika,"6,916",492,"6,323","4,344","1,897","1,197",147,46,109,"5,445"
Province 4,Nawalparasi,Bulingtar Gaunpalika,"3,487",659,"2,669","2,093",304,2,9,1,43,"1,942"
Province 4,Nawalparasi,Bungdikali Gaunpalika,"2,998",451,"2,479","1,858",242,1,3,0,24,"1,999"
Province 4,Nawalparasi,Devchuli Municipality,"9,256",393,"8,792","6,080","4,851","1,719",812,272,605,"8,110"
Province 4,Nawalparasi,Gaidakot Municipality,"13,623",495,"12,948","8,013","5,768","6,798","2,025",756,"1,733","11,661"
